Gold Coast,gold,d,MMXX,55036,32757,15326,00011,10016,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
North Moreton Bay,nmwb,g,MMXX,55027,32654,15316,00011,10035,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Caloundra,calo,g,MMXX,55045,32650,15309,00011,10018,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Mooloolaba,mool,g,MMXX,55030,32633,15310,00011,10033,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Bundaberg,bund,n,MMXX,55046,32440,15230,00011,10020,11164,0004/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Gladstone,glad,d,MMXX,55038,32353,15130,00011,10016,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Emu Park,emup,d,MMXX,55033,32318,15104,00011,10018,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Hay Point,hayp,g,MMXX,55032,32116,14918,00011,10009,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Townsville,town,d,MMXX,55029,31909,14703,00011,10016,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Cairns,cair,d,MMXX,55028,31644,14542,00011,10013,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Albatross Bay,alby,g,MMXX,52121,31241,14141,00011,10012,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
Tweed Heads,twee,g,MMXX,55037,32810,15334,00011,10024,11164,0008/,1597/,15///,12504,15003,49///,21005,21004,2222,5555
